cls_name,label,save_name
pitted_surface,3,pitted_surface_pitted_surface_179_2.jpg
pitted_surface,3,pitted_surface_pitted_surface_202_1.jpg
inclusion,1,inclusion_inclusion_219_1.jpg
inclusion,1,inclusion_inclusion_272_0.jpg
pitted_surface,3,pitted_surface_pitted_surface_124_3.jpg
pitted_surface,3,pitted_surface_pitted_surface_126_2.jpg
scratches,5,scratches_scratches_145_0.jpg
patches,2,patches_patches_278_3.jpg
inclusion,1,inclusion_inclusion_174_2.jpg
crazing,0,crazing_crazing_20_1.jpg
scratches,5,scratches_scratches_49_0.jpg
pitted_surface,3,pitted_surface_pitted_surface_286_3.jpg
pitted_surface,3,pitted_surface_pitted_surface_47_3.jpg
scratches,5,scratches_scratches_279_0.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_34_4.jpg
inclusion,1,inclusion_inclusion_10_4.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_246_2.jpg
crazing,0,crazing_crazing_157_4.jpg
inclusion,1,inclusion_inclusion_203_1.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_217_1.jpg
pitted_surface,3,pitted_surface_pitted_surface_117_1.jpg
scratches,5,scratches_scratches_223_2.jpg
crazing,0,crazing_crazing_287_2.jpg
scratches,5,scratches_scratches_59_4.jpg
crazing,0,crazing_crazing_75_0.jpg
pitted_surface,3,pitted_surface_pitted_surface_159_3.jpg
crazing,0,crazing_crazing_250_4.jpg
inclusion,1,inclusion_inclusion_215_1.jpg
patches,2,patches_patches_259_0.jpg
patches,2,patches_patches_159_4.jpg
crazing,0,crazing_crazing_37_1.jpg
pitted_surface,3,pitted_surface_pitted_surface_292_0.jpg
inclusion,1,inclusion_inclusion_293_0.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_36_2.jpg
inclusion,1,inclusion_inclusion_149_3.jpg
patches,2,patches_patches_106_2.jpg
scratches,5,scratches_scratches_278_3.jpg
patches,2,patches_patches_267_1.jpg
crazing,0,crazing_crazing_51_1.jpg
inclusion,1,inclusion_inclusion_206_2.jpg
pitted_surface,3,pitted_surface_pitted_surface_21_1.jpg
pitted_surface,3,pitted_surface_pitted_surface_64_1.jpg
pitted_surface,3,pitted_surface_pitted_surface_284_4.jpg
pitted_surface,3,pitted_surface_pitted_surface_101_1.jpg
pitted_surface,3,pitted_surface_pitted_surface_144_3.jpg
pitted_surface,3,pitted_surface_pitted_surface_29_4.jpg
pitted_surface,3,pitted_surface_pitted_surface_137_4.jpg
patches,2,patches_patches_194_2.jpg
inclusion,1,inclusion_inclusion_130_3.jpg
inclusion,1,inclusion_inclusion_118_2.jpg
patches,2,patches_patches_19_3.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_136_0.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_297_1.jpg
inclusion,1,inclusion_inclusion_11_2.jpg
pitted_surface,3,pitted_surface_pitted_surface_198_1.jpg
pitted_surface,3,pitted_surface_pitted_surface_148_1.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_130_1.jpg
crazing,0,crazing_crazing_234_4.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_231_3.jpg
scratches,5,scratches_scratches_37_4.jpg
inclusion,1,inclusion_inclusion_166_3.jpg
pitted_surface,3,pitted_surface_pitted_surface_295_0.jpg
patches,2,patches_patches_184_0.jpg
inclusion,1,inclusion_inclusion_250_1.jpg
crazing,0,crazing_crazing_206_3.jpg
scratches,5,scratches_scratches_290_3.jpg
crazing,0,crazing_crazing_140_3.jpg
inclusion,1,inclusion_inclusion_181_2.jpg
crazing,0,crazing_crazing_24_2.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_45_4.jpg
crazing,0,crazing_crazing_186_0.jpg
scratches,5,scratches_scratches_66_0.jpg
patches,2,patches_patches_222_1.jpg
patches,2,patches_patches_102_0.jpg
crazing,0,crazing_crazing_187_0.jpg
inclusion,1,inclusion_inclusion_167_4.jpg
crazing,0,crazing_crazing_50_2.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_10_2.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_38_3.jpg
crazing,0,crazing_crazing_174_0.jpg
patches,2,patches_patches_281_4.jpg
inclusion,1,inclusion_inclusion_120_4.jpg
scratches,5,scratches_scratches_43_3.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_141_3.jpg
patches,2,patches_patches_175_2.jpg
crazing,0,crazing_crazing_103_0.jpg
scratches,5,scratches_scratches_94_3.jpg
pitted_surface,3,pitted_surface_pitted_surface_283_1.jpg
scratches,5,scratches_scratches_98_1.jpg
crazing,0,crazing_crazing_113_0.jpg
crazing,0,crazing_crazing_137_3.jpg
crazing,0,crazing_crazing_273_0.jpg
pitted_surface,3,pitted_surface_pitted_surface_121_1.jpg
pitted_surface,3,pitted_surface_pitted_surface_246_2.jpg
pitted_surface,3,pitted_surface_pitted_surface_288_2.jpg
inclusion,1,inclusion_inclusion_226_3.jpg
inclusion,1,inclusion_inclusion_119_1.jpg
crazing,0,crazing_crazing_173_3.jpg
inclusion,1,inclusion_inclusion_297_0.jpg
pitted_surface,3,pitted_surface_pitted_surface_125_1.jpg
patches,2,patches_patches_51_2.jpg
crazing,0,crazing_crazing_60_4.jpg
patches,2,patches_patches_26_2.jpg
pitted_surface,3,pitted_surface_pitted_surface_102_0.jpg
crazing,0,crazing_crazing_284_1.jpg
inclusion,1,inclusion_inclusion_182_2.jpg
scratches,5,scratches_scratches_205_0.jpg
scratches,5,scratches_scratches_156_2.jpg
patches,2,patches_patches_184_1.jpg
inclusion,1,inclusion_inclusion_166_0.jpg
patches,2,patches_patches_122_2.jpg
crazing,0,crazing_crazing_32_4.jpg
pitted_surface,3,pitted_surface_pitted_surface_241_3.jpg
patches,2,patches_patches_23_3.jpg
patches,2,patches_patches_100_1.jpg
crazing,0,crazing_crazing_44_3.jpg
pitted_surface,3,pitted_surface_pitted_surface_204_1.jpg
pitted_surface,3,pitted_surface_pitted_surface_143_4.jpg
scratches,5,scratches_scratches_283_1.jpg
pitted_surface,3,pitted_surface_pitted_surface_273_3.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_229_3.jpg
patches,2,patches_patches_74_1.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_173_0.jpg
inclusion,1,inclusion_inclusion_228_4.jpg
pitted_surface,3,pitted_surface_pitted_surface_163_3.jpg
patches,2,patches_patches_195_4.jpg
scratches,5,scratches_scratches_163_4.jpg
crazing,0,crazing_crazing_206_2.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_185_4.jpg
inclusion,1,inclusion_inclusion_93_3.jpg
pitted_surface,3,pitted_surface_pitted_surface_239_3.jpg
scratches,5,scratches_scratches_249_4.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_76_3.jpg
pitted_surface,3,pitted_surface_pitted_surface_77_4.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_259_2.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_247_2.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_60_3.jpg
crazing,0,crazing_crazing_228_0.jpg
patches,2,patches_patches_296_1.jpg
patches,2,patches_patches_41_1.jpg
pitted_surface,3,pitted_surface_pitted_surface_25_4.jpg
pitted_surface,3,pitted_surface_pitted_surface_173_2.jpg
crazing,0,crazing_crazing_198_0.jpg
inclusion,1,inclusion_inclusion_40_3.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_295_2.jpg
scratches,5,scratches_scratches_35_0.jpg
scratches,5,scratches_scratches_130_4.jpg
scratches,5,scratches_scratches_146_4.jpg
crazing,0,crazing_crazing_40_0.jpg
crazing,0,crazing_crazing_108_1.jpg
rolled-in_scale,4,rolled-in_scale_rolled-in_scale_6_0.jpg
patches,2,patches_patches_49_1.jpg
crazing,0,crazing_crazing_138_3.jpg
inclusion,1,inclusion_inclusion_52_1.jpg
crazing,0,crazing_crazing_47_0.jpg
pitted_surface,3,pitted_surface_pitted_surface_2_3.jpg
